evid,Time,Latitude,Longitude,Depth,Magnitude
284,2021-03-11 08:45:28.790000,46.3418,12.3728,7.27,0.69
285,2021-03-11 16:44:49.700000,46.4943,10.7835,6.54,2.22
286,2021-03-11 17:16:25.500000,45.7637,11.4037,8.73,0.96
287,2021-03-12 06:21:35.710000,46.4962,10.7897,7.85,1.04
288,2021-03-12 17:46:24.420000,46.3778,12.4117,7.19,0.53
289,2021-03-12 19:16:26.450000,46.1545,13.559,12.04,1.32
290,2021-03-13 06:03:42.380000,46.5578,9.6813,9.06,2.1
291,2021-03-13 14:56:15.990000,46.457,12.962,14.63,1.19
292,2021-03-14 10:55:49.550000,45.8572,10.0858,8.69,1.73
293,2021-03-15 01:57:18.930000,46.2992,12.4642,5.91,0.32
294,2021-03-15 03:06:03.290000,46.2672,13.6875,5.83,0.9
295,2021-03-15 05:18:17.160000,46.2448,12.7802,9.13,1.13
296,2021-03-15 08:57:48.110000,46.3898,13.7727,9.79,1.1
297,2021-03-15 10:14:45.750000,45.7642,11.0893,10.66,1.71
298,2021-03-15 17:29:54.960000,46.35,13.0953,3.05,0.6
299,2021-03-16 12:33:50.160000,46.3113,13.046,7.02,0.97
300,2021-03-16 14:20:53.300000,46.5675,10.4645,10.87,1.35
301,2021-03-16 17:07:41.270000,46.3495,13.2133,5.84,1.28
302,2021-03-16 18:01:00.980000,46.569,10.458,8.53,0.72
303,2021-03-16 18:26:39.970000,46.0562,11.9108,7.06,1.19
304,2021-03-16 22:19:49.570000,45.7662,11.0867,9.9,2.37
305,2021-03-16 22:27:09.050000,45.9835,10.875,5.64,1.64
306,2021-03-16 23:46:52.780000,46.3057,13.2443,4.47,0.96
307,2021-03-17 03:58:43.530000,46.3228,13.1637,10.4,0.75
308,2021-03-17 06:46:21.750000,45.7607,10.028,13.77,1.96
309,2021-03-17 09:54:15.600000,46.2795,13.0508,7.47,1.56
310,2021-03-18 03:47:46.770000,46.3197,12.57,8.7,0.9
311,2021-03-18 23:20:16.260000,46.285,13.0412,5.79,0.74
